Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX,AAPL,AMZN,GOOG,META,NFLX
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-24 13:30:00+00:00,252.6219940185547,221.13999938964844,250.11990356445312,757.1799926757812,1210.735595703125,255.3699951171875,224.0,252.57000732421875,760.489990234375,1221.5,252.0800018310547,221.13009643554688,248.8000030517578,753.4197998046875,1210.219970703125,255.0,224.0,252.25,760.0,1221.0,6502958,9175073,3058924,1609694,325687
2025-09-24 14:30:00+00:00,252.1199951171875,221.139892578125,250.33999633789062,757.739990234375,1197.5400390625,252.99000549316406,221.8300018310547,250.94000244140625,759.9199829101562,1211.5,251.5399932861328,220.310302734375,249.66000366210938,755.2000122070312,1197.1717529296875,252.625,221.1199951171875,250.08999633789062,757.0499877929688,1210.1199951171875,3291728,4483547,1097733,825114,233121
2025-09-24 15:30:00+00:00,252.1649932861328,220.88999938964844,249.44000244140625,757.1099853515625,1198.550048828125,252.25999450683594,221.10000610351562,250.35000610351562,758.75,1202.7799072265625,251.0399932861328,219.5399932861328,247.7899932861328,752.5250854492188,1194.199951171875,252.1199951171875,221.10000610351562,250.35000610351562,757.5,1197.6199951171875,3045221,3866159,1259044,575240,315827
2025-09-24 16:30:00+00:00,251.49000549316406,220.9199981689453,249.40499877929688,754.89990234375,1200.0,252.25999450683594,221.0500030517578,249.5800018310547,757.3699951171875,1203.139892578125,251.33999633789062,220.08999633789062,248.89999389648438,752.530029296875,1198.1961669921875,252.17140197753906,220.88490295410156,249.4499969482422,757.16748046875,1198.6700439453125,1637321,2500210,613453,464628,146907
2025-09-24 17:30:00+00:00,251.76499938964844,220.0850067138672,247.8699951171875,755.1649780273438,1198.4599609375,252.11000061035156,221.1999969482422,249.52999877929688,756.0,1202.5909423828125,251.27999877929688,220.0800018310547,247.22000122070312,753.6701049804688,1196.1600341796875,251.51499938964844,220.9102020263672,249.41000366210938,754.8900146484375,1200.1500244140625,1622724,2386130,931306,384280,178909
2025-09-24 18:30:00+00:00,251.38999938964844,219.77999877929688,248.24000549316406,759.4299926757812,1199.6700439453125,251.7899932861328,220.48959350585938,248.94500732421875,759.6300048828125,1200.7498779296875,251.24000549316406,219.77000427246094,248.05999755859375,755.469970703125,1196.97998046875,251.75,220.11000061035156,248.11000061035156,755.469970703125,1197.1700439453125,1680916,2611737,740759,478298,163282
2025-09-24 19:30:00+00:00,252.24000549316406,220.2100067138672,247.77000427246094,760.7100219726562,1203.8499755859375,252.49000549316406,220.35000610351562,248.27000427246094,761.1099243164062,1204.8199462890625,251.2899932861328,219.4499969482422,247.3300018310547,757.8099975585938,1198.9300537109375,251.38999938964844,219.77499389648438,248.22999572753906,759.2949829101562,1199.97998046875,2697400,3481261,1364225,786976,168081
2025-09-25 13:30:00+00:00,254.0,219.75990295410156,246.27000427246094,747.114990234375,1214.760009765625,254.1199951171875,220.63319396972656,246.83999633789062,753.9598999023438,1215.5499267578125,251.71200561523438,218.1999969482422,241.64999389648438,744.5499877929688,1191.510009765625,253.0,220.0,243.5,753.0,1200.5,8503081,7841403,4066310,2632316,414894
